Label,Text
sexist,"Bad_bug писал(а):В статье как то больше про уловки в споре чем о женской логике.Не это ли доказательство, что ее просто не существуе вовсе. 
логика или есть или нет, но придумали понятие ""женская логика"" которая на самом деле есть уловки и манипуляции и это автор и раскрывает в своей статье логично, просто и доходчиво."
non_sexist,"Хорошо бы прилепить статью в данном форуме, легче искать будет, полезно не только для вновь прибывших. Ходатайствую "
sexist,"Vlas писал(а):логика или есть или нет, но придумали понятие ""женская логика"" которая на самом деле есть уловки и манипуляции и это автор и раскрывает в своей статье логично, просто и доходчиво.
Суть женской логики - манипуляция, осознанная или инстинктивная.
Если манипуляция сознательная - то в ней есть логика. Если инстинктивна - то тоже, ибо любой инстинкт логичен и не появляется из ниоткуда.
Логика (λογική — «наука о правильном мышлении», «искусство рассуждения». Поэтому - простите за тавтологию - логичнее тему о женской логике - назвать ""о законах женского мышления""."
sexist,"А вообще каждый выбирает свой путь сам,кому-то хочется жить одному-имея фигуристых бабцов каждую ночь разных.кому-то нужно приходить домой в тихую гавань.кто-то и сам любит поспорить-до красноты в глазах.
Если все женщины плохие-не проще их стороной обходить
да,мы не похожи на вас мужчины,вы решительные-отважные-сильные-но и у нас есть хорошие качества.
коту-кощка
принцу-принцесса
бомжу-бомжиха.
голубю-голубка
никто не виноват что принц выберет ""бомжиху"" или кот-голубку
финал такого ""общения""известен.
хотя и выбают хэппи энды.кот не станет голубку жрать и заживет счастливо
примеры утрированы "
non_sexist,"лиса_я писал(а):А вообще каждый выбирает свой путь сам,кому-то хочется жить одному-имея фигуристых бабцов каждую ночь разных.кому-то нужно приходить домой в тихую гавань.кто-то и сам любит поспорить-до красноты в глазах.

Это вообще каким боком сюда? Это из другой темы:


Принцип разумного фатализма

Это означает, что не нужно бояться закончить отношения, которые тебя не устраивают, не нужно судорожно вцепляться в проблемную женщину. 

Именно ты главный в отношениях. Появление женщины рядом с тобой должно приносить тебе комфорт, а не постоянные проблемы, ссоры, выяснения отношений, «мозговынос».  Смысл отношений мужчины и женщины в позитивном взаимообогащении и взаимодополнении жизней обоих; приобретать должны оба. Женщина должна приносить тебе радость, а не огорчения и нервотрепку. 

Принцип очень и очень простой: с женщиной мужчине должно быть лучше, чем без нее. Если это не так, то посылайте ее или используйте ее для эпизодического секса, к обоюдному удовольствию.  Дискомфорт — заканчивайте отношения. 

Обидно, что до сих пор не все мужчины руководствуются этой ПРОСТЕЙШЕЙ для понимания и логичной формулой здоровых отношений. Это же должно быть предельно ясно. 

Русской ментальности, увы, характерен синдром ""отложенного счастья"": где-то там, когда-то все будет хорошо, а пока надо потерпеть ради этого светлого дня. Это мироощущение мужчины часто переносят и на взаимоотношения с противоположным полом:
""Как-то выправится, она изменится, станет лучше, перестанит скандалить"", - говорят   успокаивают себя мужчины.

Помните: это и сейчас — и есть ваша жизнь такая, какая она есть. Каждый проживаемый день уникален и неповторим, будущее мы творим своими руками прямо сейчас. Не нужно ""терпеть"" ради каких-то эфемерных ""отношений"". Когда мы приходим в ресторан, то выбираем блюда, которые нам нравятся. Почему с женщинами должно быть иначе?

Уважай и люби СЕБЯ. Иначе как ты сможешь расчитывать на любовь к тебе других людей? Думай, в первую очередь, о своих интересах; о своих женщина подумает сама — даже не сомневайся.

Не переоценивай роль женщины в твоей жизни: для нормального мужчины это даже не ¼ его интересов. Не бойся «потери», бойся излишней значимости для тебя женщин — это серьезный деффект личности, который так часто встречается у мужчин, воспитанных матерью-одиночкой. Не ставь обладание женщиной выше всех твоих интересов, желаний, устремлений: женщин много, ты у себя один. Не затыкайся на одной женщине без веских и объективных на то причин.

Не пытайся изменить в женщине основы ее характера, не переделывай — ты разобьешь себе голову, а результаты все равно будут плачевными.  Меня часто спрашивают: можно ли изменить СДС-женщину. Отвечаю: теоретически можно. Но количество энергозатрат сопоставимо с организацией экспедиции на Марс, никак не меньше. Теоретически можно и бетонный забор головой разбить. Тебе оно надо?


Помни, твои ресурсы ограничены, не трать самый главный ресурс - ВРЕМЯ на бесперспективные проекты. 

В Мире еще миллиард женщин, не плавай в дерьме, выбери подходящую. Не бойся временно пустующего места рядом с тобой, помни мудрость Омара Хайама:

Чтоб мудро жизнь прожить, знать надобно немало.
Два важных правила запомни для начала:
Ты лучше голодай, чем что попало есть,
И лучше будь один, чем вместе с кем попало.

Не надо пытаться раз за разом «все начать сначала» - эта глупая утопия, от которой пострадала масса слабых и наивных мужчин.

Принцип «разумного фатализма» поможет тебе не зациклиться на одной женщине, которая объективно не подходит, но сделать правильный и разумный выбор в той степени, в которой это вообще возможно в эпоху матриархальной деградации.


И последний, шестой пункт. «Каждому свое» означает четкое понимание того, какие именно отношения ты строишь с конкретной женщиной, чего ты ожидаешь от нее. 

Познакомился с приятной разведенной женщиной, у которой есть ребенок, и она показалась тебе замечательной в постели? Отлично! Если тебе нужна любовница выходного дня, и ты уверен, что женщина не попытается тебя захомутать, то вперед. Но зачем строить с такой семью?

Зачем совращать 17-летнюю девочку из хорошей семьи, если тебе не нужны серьезные отношения с ней в перспективе?

Красиво развлекался с фигуристой девушкой на курорте? Замечательно! Отпуск закончился, годна ли она на что-то, кроме тусовки и секса? 

У меня есть одна знакомая, два высших образования, очень интересная собеседница, мировая собутыльница. С ней приятно оттянуться, посмотреть кино, иногда — заняться сексом. Почему я не женился на ней? Она вообще не для семейной жизни, слишком много заскоков, слишком жирные тараканы у нее в голове. Но раз в год с ней приятно повидаться.

Женщин много разных. Молодых и под 40, высоких и крошечных, с большой грудью и вовсе без, пышных и худышек, спокойных и истеричных, домашних и оторв. Выбирай на свой вкус и цвет тех, в ком ты нуждаешься сейчас. Важно одно: всегда отдавать себе отчет с кем и какие отношения ты строишь. Пудрить женщинам мозги — это полбеды, главное — не пудрить их себе."
non_sexist,"Вот скажи....
Апочему когда у мужчины ломается что-то в тачке,мужчина корпит-налаживает,созывает друганов для совсета-""шерстит""авторазборки и прочие запчасти,заказывает на заказ и ждет,потом снова налаживает""
Посмотри сколько энергозатрат?
Не проще ли так поломалаось-тут же выставляй на продажу
Но он же такой..привык к ней,выбирал заботливо.он ее любит(машину)
А чем по другму с женщиной?
Просто у каждого мужика свой энерго-запас нервов разный
Кто-то годами может жить ""под куполом скандалов"" а кто-то после пары мозговыносов пакует чемодан
А так все в тему изложено.
Мудрый ты и по постам и по фото(только посты немгого порой завуалированы не любовью к женщине.только вот пока не поняла это маска или истинное лицо.быть может пишет то добряк.с нежным сердцем.все может быть) "
non_sexist,"лиса_я, опять жжешь напалмом. Давай не сравнивать несравнимое. Когда машина объективно начинает сыпаться её сдают в утиль. За границей так всегда поступают. Только у нас еще совок жив."
sexist,"Лиса, побольше пишите комментов в этой теме - Мак сэкономит время на примерах!  
И лести можно поболе, а то чтой-то так скромно - копыта очень стройные и добрая душа   
Нет бы сразу из всех орудий - Ты тааакой умный! Лови фотки в личку!
   
Впрочем - вас учить - только портить  "
sexist_in_co,"MoonWolf, ты знаешь может она реально хочет к нему подкатить?
он ее любит(машину)  потому что машина любит в ответ(перевозит попу, не выпендривается по пустякам, не капает на мозги, всегда заводится с пол тычка)."
non_sexist,"[quote=""MoonWolf""]
И лести можно поболе, а то чтой-то так скромно - копыта очень стройные и добрая душа   
Нет бы сразу из всех орудий - Ты тааакой умный! Лови фотки в личку!
А  при чем тут ""лови фото в личку?!""""""  
И при чем тут лесть?какое впечатление о фото-то и написала.
Все вы через призму испорченности видите
Написала хорошее-нет,нужно с помойкой смешать
или у вас принцип зеркальности?
Написала хорошее-считаем гов*о
написалагов*о примет за комплимент..так что ли?
мне ему льстить то смысл?
В невесты чтоли набиваюсь?Да вроде нет.."
non_sexist,"лиса_я писал(а):
""Кто-то годами может жить ""под куполом скандалов"" а кто-то после пары мозговыносов пакует чемодан 
А та, которая ему мозговыносы устраивала стало быть ""добрая любящая нежная"" ? А мозговыносы - это выражение её любви? "
sexist,"MoonWolf писал(а):Суть женской логики - манипуляция, осознанная или инстинктивная.
Если манипуляция сознательная - то в ней есть логика. Если инстинктивна - то тоже, ибо любой инстинкт логичен и не появляется из ниоткуда.
Логика (λογική — «наука о правильном мышлении», «искусство рассуждения». Поэтому - простите за тавтологию - логичнее тему о женской логике - назвать ""о законах женского мышления"".
Сознательная манипуляция это уже мошенничество, обман, что вобщем то может быть вполне логичным при планировании и осуществлении.  
С остальным соглашусь, что ""женская логика"" это по сути её мышление подчиняющееся тем законам которые описаны в статье 
MacDuckа."
non_sexist,"Pavel_juk писал(а):MoonWolf,
 ты знаешь может она реально хочет к нему подкатить?
_________________________________________________________
да точно,живя за столько км так и думаю про билет и полет-чтобы увидеть воочию магдака  
______________________________________________
 потому что машина любит в ответ(перевозит попу, не выпендривается по пустякам, не капает на мозги, всегда заводится с пол тычка).
точно?А вот и не правда.видела я картину орущего мужика на ""железного коня""-""Да что тебе надо?что ты не едишь сучка""---------------так он заглохший орал на весь двор!
и с пол тычка не заводится-зимой как бережно мужчина отогревает свою ласточку(которая при -35 капризничает и не хочет попу везти в комфорте)
Так бы баб грели  
и вибаста-и(не дай бог замерзнет)"
sexist,"лиса_я писал(а):А  при чем тут ""лови фото в личку?!""""""  
И при чем тут лесть?какое впечатление о фото-то и написала.
Все вы через призму испорченности видите
Написала хорошее-нет,нужно с помойкой смешать
или у вас принцип зеркальности?
Написала хорошее-считаем гов*о
написалагов*о примет за комплимент..так что ли?
мне ему льстить то смысл?
В невесты чтоли набиваюсь?Да вроде нет..
А чего вы так всполошились то?! C чего такой фонтан эмоций? Или я все-таки угадал?!  "
sexist,"лиса_я писал(а):Так бы баб грели  
Принципиальное отличие бабы от авто - ты машинку греешь - потом она тебя везет. А бабу ты греешь - так она потом на тебе едет   
Отсюда логичный вывод - уступать дамам место и садить вперед в холодную машину  "
sexist,"MoonWolf
ну это кому как
кто-то и везет бабу.
А умудриться так погреть-чтоб она везла?Вполне реально кстати.Ну хоть не везла-а за руку держала нежно в намеке на обалденный секс вечером.Все в ваших руках,красавчики!Без вас нам ничего в жизни не нужно.Вообще все для вас и шмотки покупаетм-чтоб нас сексуальных любили,и готовим стоим-чтоб вам после работы сытно было
Мужик же по природе борец-выходит из квартиры и все.борется за место под солнцем для себя и своей женщины.и не добром за такое платят только сучьи женщины.неблагодарные тва*и"
non_sexist,"Мас, ну чего, получается у меня пользоваться ""женской логикой""?!  "
non_sexist,"НочнойВолк, не вижу от тебя демагогических приемов.   "
sexist_in_co,лиса_я-живое наглядное пособие к статье 
sexist,"лиса_я писал(а):Без вас нам ничего в жизни не нужно.Вообще все для вас и шмотки покупаетм-чтоб нас сексуальных любили,и готовим стоим-чтоб вам после работы сытно было
А вы думаете, мы водку жрем от удовольствия или потому, что она сладкая?!   
Да ни один мужик не будет водку жрать или диван давить, если б это не вызывало столь бурных эмоций у баб   
Ведь откуда козлу знать, что он козел и вообще - козлее всех остальных, если б ему об этом постоянно не говорили?!  
А так - услышал комплимент - начит всё путём, всё правильно делаешь  "
