Column1;Column2;Column3;Column4
30469221;30469392;sexist;Чем то он её не удовлетворил...а этим своим поцелуем---подставил...
30469221;30469402;sexist;Америка- страна сексуальных террористов.
30469221;30469403;sexist;Да всё, позняк метаться, насильник ??
30469221;30469413;sexist;он же помер
30469221;30469418;sexist;Что значит отверг обвинения в свой адрес? Не по американски это. Заява есть ? Есть, тогда в суд а там оправдывайся как хочешь ... ????????
30469221;30469423;sexist;Ну ладно
30469221;30469430;sexist;обещал жениться, какая была наивная, оказывается все мужики сволочи. Теперь по результатам соцопроса или пойду в монастырь, или как Каренина - под поезд. О времена о нравы о горе мне. Занавес.
30469221;30469538;sexist;Надо было ей шугаринг делать, и мыться.. если он так её смутил..??
30469221;30469974;sexist;да просто он только стопарь опракинул, а закусить нечем было вот и занюхал волосами. чё она в самом деле то, какие домогательства?
30469221;30470005;sexist;Заметно,как проваливается!!!
30469221;30470116;sexist;Вот эту тётку в макушку поцеловал этот старец!?!?!? И это скандал!?  Ой,проблем у них мало,у дураков.
30469221;30470276;sexist;Ну, так ещё бы он сказал, что видел, как этой женщине было неловко. В этом и есть вся демократия по-американски, жертве домогательства попросту не верят.
30469221;30470432;sexist;Судя по выражению, барышня осталась довольна...??
30469221;30470500;sexist;Всё,карьера в труху
30469221;30470590;sexist;До старухи полез
30469221;30471034;sexist;Походу,он прошептал сумму и она решила повысить стоимость pizdы. А он ,не понял и воспринял как отказ. Спустя 5 лет ,старушка отомстила. ...........Вот что значит недопонимание.??
30469221;30471111;sexist;Она же страшная.
30469221;30471688;sexist;Писец , не дай бог эта зараза у нас привьется. Ведь наши женщины нас просто прибьют, если мы на них не будем обращать внимание.
30469221;30471712;sexist;Что то не видно по ее лицу,что она была готова провалится от стыда...Даже наоборот,млеет стоит...
30469221;30472039;sexist;У дерьмократов одни биллы клинтоны что ни кондидат то извращениц
30469221;30472088;sexist;Вообщем, есть такое нехорошее чувство, что старичок Байден попал под раздачу и скоро его тоже сольют.
30469221;30472207;sexist;Эти американские старперы уже помешались на сексе
30469221;30472410;sexist;Но не провалилась ведь и возможно сильно обиделась что за этим не последовало продолжение. На фото видно что вся замлела и улетела в своих фантазиях.
30469221;30472745;sexist;"На фото:""Хочешь большой, но чистой любви? Приходи, сегодня, на сеновал""??"
28942478;28942491;sexist;справа неймар. его тоже хотели динь динь?
28942478;28942525;sexist;Правильно, Пол,  выдвигай встречные иски на этих шкур за клевету и домогательства! ??
28942478;28942528;sexist;Атаковать надо, говори что тебя изнасиловала
28942478;28942529;sexist;и почему я так никогда не думала
28942478;28942539;sexist;Дырки достали уже
28942478;28942540;sexist;Настоящий гаскойнец =)
28942478;28942546;sexist;Пока стоит, надо пользовацца!
28942478;28942563;sexist;А что так можно было ? Не признался и все
28942478;28942592;sexist;Не виноватый он, они сами пришли. ?????????
28942478;28942648;sexist;А доказательства?
28942478;28942930;sexist;+++ Мужик обязан домогаться.
28942478;28943541;sexist;не дала значет не виновен
28942478;28943688;sexist;бутина призналась и этот сломается.
28942478;28945097;sexist;а шо, домогаться запрещено?
28942478;28945863;sexist;Пол только бутылку скотча домогается и наркодилеров
28942478;28949311;sexist;прочитал : - поп гапон ))
28942478;28951028;sexist;Не эту ли слева (с бычьей шеей) он домогался?
28942478;28954371;sexist;"Держись 
Не презновайся"
28893080;28893088;sexist;Зря Варлей подняла всю эту муть сейчас.
28893080;28893089;sexist;Вот и мы достигли уровня Голливуда ... ??????
28893080;28893101;sexist;Бедная, все е*бут, да ни как не вые*бут
28893080;28893108;sexist;Норм
28893080;28893115;sexist;Ну и что ? Я вполне понимаю Гайдая )))
28893080;28893116;sexist;Вспомнила приятные моменты.
28893080;28893132;sexist;вот уж буквально- вспомнила бабушка свой девичий стыд))
28893080;28893133;sexist;Ну раз Варлей решила про это написать спустя столько лет, значит, её это больше взволновало, чем возмутило. Иначе просто глупо помнить такие вещи под старость лет.
28893080;28893140;sexist;Дала бы. Тогда родился бы сын и спустя 50 лет х..нёй бы занимался у Малахова как сын Мишулина доказывая что он сын Гайдая. Но откуда ж Варлей знала, что через 50 лет можно было поднять денег на этом?
28893080;28893147;sexist;Жалкий косплей истерического #MeToo . Фу.
28893080;28893157;sexist;Нормальная реакция мужика!!!! Варлей-Студентка, комсомолка, спортсменка и просто красавица ??
28893080;28893164;sexist;После стольких лет лопатить свое же грязное белье.фууууу
28893080;28893173;sexist;Или я её веду в ЗАГС или она меня в прокуратуру))))))))))))))))
28893080;28893216;sexist;Варлей - супер!!!
28893080;28893220;sexist;Приятно читать такие новости, хорошо что теперь и у нас все как в развитых странах!)
28893080;28893229;sexist;В последнее время стало модным втаптывать в грязь великих артистов, певцов, режиссёров. Находятся многочисленные женщины, утверждающие что родили от этих людей, имели интимные связи. Вот теперь и Гайдай попал в их число.
28893080;28893236;sexist;Да ни один мужик не устоял бы против нее молодой.....Высшая Девочка была!!!!??
28893080;28893244;sexist;Ну мужик перебрал просто
28893080;28893245;sexist;Кто к ней не приставал, тот импотент)
28893080;28893247;sexist;"Покобелила мнение о себе...?? 
Зачем!?"
28893080;28893251;sexist;Для чего надо было на старости такое писать? Может все покоя не дает,что так и не на@ бали,простите мой французский.
28893080;28893265;sexist;Не, ну прямо, Моника Левински! Хорошо, что не Саша Лойе об этом пишет.
28893080;28893267;sexist;РТ деградирует - сплетни!
28893080;28893286;sexist;"Не к селу ,не к городу.
Все композиции пустота."
28893080;28893319;sexist;Вот зачем всё ворошить...Сама наверное не против была..
28893080;28893383;sexist;Фу! Мерзко! Низко! Подло! Сейчас об этом на всю страну.... не от большого ума!
28893080;28893400;sexist;У нас не Америка, нам глубоко не интересно, кто там до кого домогался. И не надо тут превращать какие-то мнимые домогательства в хайп, эти люди- наша светлая память, не надо делать из этого помойку, и так уже испохабили всё, до чего дотягиваетесь.
28893080;28893403;sexist;Ну, и кому нужны такие откровения Варлей сейчас? Что же раньше то молчала пока Гайдай был жив?
28893080;28893410;sexist;Нормальное поведение всех,классическое так сказать??
28893080;28893426;sexist;Да она сама легла под Гайдая из за роли.
28893080;28893525;sexist;Варлей было 18 лет.... Как говориться можно...
28893080;28893536;sexist;На старости решила хайпануть Варлей? Или деменция подкралась незаметно? Хорошо воевать с мертвецами они уже не ответят,а ты вся в белом(
28893080;28893555;sexist;Каждый мужик домогался, домогается и будет домогаться, это мужской менталитет и девушкам это нравиться..
28893080;28893598;sexist;"если б я был Гайдай я имел трёх жён 
и Варлей говорила мне бы ""данке шон"""
28893080;28893616;sexist;Вот так случай !
28893080;28893617;sexist;"В СССР  секса не было

вы все врете"
28893080;28893653;sexist;Старческий умаразум
28893080;28893668;sexist;и че?ну дала бы раз знаменитому режиссеру....
28893080;28893969;sexist;У Варлей видимо воспоминания нахлынули,вот и решила о себе дорогой напомнить,только зачем?
28893080;28894037;sexist;Столько лет прошло, а она решила рассказать об этом. Видно ей хочется, чтобы вспомнили о ней и обратили внимание. Одним словом, захотелось пропиариться. Только не красит этот поступок  Н. Варлей, зря она это сделала. Неприлично и непорядочно.
28893080;28894050;sexist;"Даже если это было так. Зачем сейчас  про писать? Гайдай - это Гайдай, что бы о нем не говорили. Варлей, лично для меня, упала ""ниже плинтуса"". Неужели нельзя достойно завершить  свою жизнь. Надо  обязательно, в дерьме искупаться."
28893080;28894144;sexist;Ну давайте теперь Гайдая -как Ванштейна казним -Только посмертно... Варлей к Малахову позовем и будем всей страной смотреть на эту грязь...И ведь будем..)
28893080;28894246;sexist;А что вы хотите... сыграть ведьму - это навсегда
28893080;28894386;sexist;Конечно,она не соврала. Такая красотка была,о ней все мужики в СССР мечтали. А что, собссно, она такого рассказала? Секса не было, так, мужчина просто не мог устоять перед такой лапочкой. Никак это не унижает ни его, ни её. Вот Гребешковой м.б. неприятно,это да...
28893080;28894649;sexist;Ну зачем это надо Варлей?  Чтобы народ оценил ее честность? Авторитет Гайдая не поколебим, а Варлей теперь попахивает.
28893080;28894671;sexist;вспомнила бабка як дивкой была????
28893080;28895505;sexist;Было бы странно если б не пристовал
28893080;28895573;sexist;Сама виновата потеряла уважение.Старая больная уже старуха,если он приставал не снималась бы в кино.Скорее сама прыгала наверное всем даже Моргунову и Вицину??
28893080;28896514;sexist;Поражают лбди, которые пасти открывают после смерти других.
28893080;28899261;sexist;Тоска о молодости загрызла?
28893080;28899893;sexist;А ведь выдает себя за православную, в Бога, вроде как, верует.... Женщины-христианки так недостойно себя не ведут, знают цену каждому своему слову, память усопших не тревожат и не треплют языком....
28893080;28903403;sexist;Каждую красивую девушку постоянно кто-то хочет поцеловать или чего побольше... ??... а другим завидно... что не такая красивая... или что не смог такую поцеловать... ??
28893080;28911889;sexist;Варлей тоже решила попиариться.
28885748;28885776;sexist;А что в этом плохого. ??
28885748;28885777;sexist;Кончайте плясать на костях, Варлей- вас это не красит!
28885748;28885778;sexist;Ну и дебилизм...™
28885748;28885787;sexist;евроинтеграция? Лавры Вайнштейна покоя не дают?
28885748;28885795;sexist;Че за хренотень,,,,50 лет прошло,,,а в каком эпизоде?
28885748;28885796;sexist;Большинство мужчин такие! Как видят красивую девушку разум затмевается!
28885748;28885806;sexist;Молодец Гайдай! Значит мужик! Вот если бы он к Никулину приставал.....!!????
28885748;28885807;sexist;вытолкала и молодец,а мужики всегда к девушкам приставали и пристают.
28885748;28885811;sexist;Не красиво с ее стороны! Даже если это правда! Когда некому уже извиниться или опровергнуть
28885748;28885814;sexist;ПМС у Варлей что ли? Раньше надо было говорить. А что сейчас то болтать
28885748;28885817;sexist;"Дебилизм во всей красе. 
Маразм скосил и Варлей. Это 
страшная болезнь, что ни говори."
28885748;28885823;sexist;Старушкам тоже хочется славы, да еще про домогательства Трампа 40 лет назад насмотрелись, а сейчас никто не пристает, обидно .
28885748;28885833;sexist;Ни рт а помойка какая то
28885748;28885835;sexist;"И что в новости эдакого?
Приставал так может просто в формате намека какого-то,ничего сверхъестественного.
Варлей в те годы была очень красива )"
28885748;28885855;sexist;Харасмент харасмент
28885748;28885860;sexist;Как противно.
28885748;28885866;sexist;Это просто ужас))))
28885748;28885867;sexist;мужик
28885748;28885879;sexist;Все домогательство заключалось в том, что он, будучи женат, пытался поцеловать (явно не по дружески) другую девушку.
28885748;28885890;sexist;У Варлей проблемы с головой уже довольно давно.
28885748;28885914;sexist;"Просто не порядочно говорить о человеке что-то после его смерти! Он же не может ответить. А ведь жива его семья. Варлей утверждает, что она - верующая. Что ж она библейские заповеди нарушает,.да ещё публично: ""не навреди"";"" о мёртвых или хорошее, или ничего"" и т.д.
Какие они ""творческие люди""? Какая же у них мелкая душа."
28885748;28885920;sexist;Можно сказки прочитать , чтоб вспомнить молодость свою.
28885748;28885929;sexist;И кстати, а может там вообще ничего не было, так любой написать может. Сразу надо было вопить!
28885748;28885931;sexist;Надо быть в тренде
28885748;28885935;sexist;"А чего раньше не оскорбилась и не бросила сниматься? Можно это и по другому интерпретировать намекала дала понять что можно, позволила только поцеловать и пользовалась всю оставшуюся жизнь симпатией режиссёра в корыстных целях.  Сложно будет размножаться ""цивилизованному"" человечеству. Ну поцеловал первым, хотел что то сказать помешали, если так дело пойдёт то не решительные парни должны быть возведены в святые. Но что то я не вижу этого, где рассказы о том что вот он такой то  был настолько скромен и нерешительным что так и не сделал первый шаг и поэтому он крутой."
28885748;28885942;sexist;Сейчас даже комплимент могут расценить как домогательство! А потом удивляются откуда столько геев
28885748;28885946;sexist;Давайте теперь ещё  к покойникам претензии предъявлять. Что за хрень творится в мире!?
28885748;28885959;sexist;Опомнилась. Все ради того, чтобы книга продавалась лучше ? Это мерзко. Человека давно в живых нет. Защиться и опровергнуть не может. Сама себя унизила ??
28885748;28885963;sexist;Могла бы сразу перед его носом закрыть дверь но.....Мне очень жаль жену(((
28885748;28885966;sexist;Кстати, можно тогда и к Вицину предьявить претензии, судя по фото. И к автору сценария, чего уж там.
28885748;28885968;sexist;"Варлей тоже, хайпануть решила..? На передаче Никулина ""Белый попугай"" этот случай описывался. Гайдай тогда ошибся номером, и зашёл к Варлей в поисках коньяка. На вопрос Варлей - ""Вы будете приставать?"" Гайдай ответил - ""Деточка, рождённый пить - е..ать не может!"" ??"
28885748;28885978;sexist;нормально ответила .
28885748;28885986;sexist;Лет через 10 Олёша Навальный напишет свою автобиографию, где скажет о том что к нему приставали Веник, Альбац и американский посол.Если первым двум он отказал, то послу отказать не смог ....)
28885748;28885992;sexist;Почему происходит вот именно по такой схеме : умер творческий человек ,проходит небольшой временной промежуток-и вот начинается:приставания,изнасилования,домогательства и т.д.А что нельзя было поднять эту тему раньше?надо было 50 лет терпеть? Удивляет такая вот логика ( если вообще она здесь есть)...
28885748;28885996;sexist;Сразу вспоминаю старый анекдот. - Изнасиловали, изнасиловали, - кричит старуха на вокзале. К ней подходит полицейский, спрашивает: Кто? - Оскар Петрович, - отвечает старуха. - Когда? - 50 лет назад. - А что ж ты сейчас кричишь? - Приятно вспомнить.
28885748;28886006;sexist;Взяли моду писАть всякую фигню с забугровых артистов.
28885748;28886011;sexist;Реклама книги) ну и правильно. Нечего отвечать на всякий бред)))
28885748;28886015;sexist;хоть есть что вспомнить.....цените как прожили...
28885748;28886016;sexist;Вполне возможно??????
28885748;28886041;sexist;Уже и в новостях Яндекса этот позор
28885748;28886063;sexist;Ну правильно, не будем отставать от Голливуда. Вам самим не противно? Там уже Лукаса обвиняют в домогательствах. Давайте по советским режиссёрам проедемся.
28885748;28886097;sexist;Куда старуху понесло ???
28885748;28886114;sexist;Кстати,  героиня Кавказской пленницы говорит не голосом Варлей,  это ищите в сети. Ссылки давать не буду.
28885748;28886126;sexist;Кстати, мы все существуем благодаря тому, что кто-то добивался внимания кого-то. Только это не обзывали домогательством.
28885748;28886166;sexist;Когда захотелось славы...
28885748;28886233;sexist;Старым бабам,только и остается,что вспоминать.... Только вот, зачем это делать достоянием всего населения? Тем более, что человека уже нет в живых. С ума посходили все....
28885748;28886261;sexist;Когда понимаешь, что ты забыта! Ты
28885748;28886300;sexist;"Не знаю что хотела добиться Варлей этой ""сенсацией"", но лично я глубоко убежден, что в те годы любой уважающий себя мужик должен был попытаться поцеловать Варлей. Хороша была девка??"
28885748;28886332;sexist;+++ Мужчина обязан приставать.
28885748;28886366;sexist;видно совсем забыли старушку ...
28885748;28886389;sexist;Господи! О чем мы говорим! Один раз - это не домогательство. Нормальный мужик. А вот у Варлей проблемы. Нечего вспомнить?
28885748;28886397;sexist;Ага, в СССР,при парторгах, ну-ну..Нет, я понимаю - всякое бывало..Но еще никто не жаловался. А теперь моду взяли - живому ни-ни, а умер-куча детей и любовниц появляются
28885748;28886495;sexist;Когда нет человека можно говорить всё что угодно он же не ответит а вообще надо прекращать эту пиндосовскую практику мы живём в России а не в пиндосии
28885748;28886518;sexist;Кругом моньяки насильники уджас
28885748;28886574;sexist;Рт сдаёт позиции, скоро только нижнее белье будет в новостях...
28885748;28886593;sexist;Как это у Губермана - Устой традиций надо соблюдать, пускай не раз ответят вам отказом, конечно, дама может и не дать, но предложить ты ей всегда обязан! Так что - нормальный был наш незабвенный Леонид Иович
28885748;28886647;sexist;Даже если бы этого и не было, в мемуарах нужно было написать, что было. Женское тщеславие и суетность.
28885748;28886668;sexist;Малахов нанял эту су...чку
28885748;28886701;sexist;А Госдуме жених украл члена партии
28885748;28886744;sexist;Никогда не нравилась Варлей.Что- там у ней не заладилось с сыном Мордюковой,непонятные браки...Два фильма- Вий и Кавказская пленница.Не скажешь, что Талантище.Даже,если Гайдай и постучался к ней в номер,надо быть Ему благодарной всю оставшуюся жизнь.
28885748;28886806;sexist;хватит искать скелетов в шкафах . было - не было , у каждого можно найти и похлеще
28885748;28886808;sexist;Внимание нужно обращать на тех, кто не домогается, у них нужно искать патологию!
28885748;28886936;sexist;Не пачкайте  грязью шедевры и их создателей. Гребешкова  молодец
28885748;28886948;sexist;Дешевую популярность Варлей себе ищет - никому не нужна, так хоть на скандальном засветиться.
28885748;28887076;sexist;это доказывает, что Гайдай был МУЖИК ! ( а Варлей хотела похвастаться —- кто к ней приставал. Огласите весь список, пожалуйста ! )
28885748;28887081;sexist;"Как говорится : ""Мертвого льва может пнуть даже осел"" ...."
28885748;28887282;sexist;....он режиссер ....она отпаднная девчонка ....я бы тоже на его месте попытался бы ей под юбку залесть ....мы мужики как от туда вылезли как правило туда всю жизнь и лезим....
28885748;28887354;sexist;иного способа напомнить о себе уже не осталось.
28885748;28887372;sexist;Совсем по#банулись.
28885748;28887525;sexist;Гыыы, может её Вайнштейн домагался?
28885748;28887618;sexist;Гнусность какая... Неужели при себе это нельзя оставить.
28885748;28887628;sexist;Варлей не туда покатилась. Стыдно.
28885748;28887737;sexist;"Даже если пытался,не вижу ничего странного и тем более плохого.
Жена верный друг и соратник,почему бы не попытаться закрутить с молодой и красивой? Но ведь не обиделся,когда отказали и не запретил снимать, как Пырьев."
28885748;28887836;sexist;Зачем Варлей это написала? Ведь для СССР Гайдай почти святой. Зачем к себе негатив от всей страны получать. Все таки странная она.
28885748;28887988;sexist;Всех как подорвало,  молчат по тридцать, сорок лет, а на старости вспоминают. Поговорить больше не о чем или вспомнить нечего? Гайдай прославил её, да и умер уже. Что языком мести, о себе Варлей напоминать надо не грязными воспоминаниями.
28885748;28888246;sexist;Он кстати на чикатилу похож гайдай ваш
28885748;28888371;sexist;Стыдоба....Варлей недостойно повела себя, написав это...
28885748;28888768;sexist;"У всех кукушка поехала на этом харасменте))
Буду старый тоже перечислю всех тёток которые ко мне по пьяни лезли, пусть их мужья охренеют (про обоюдно приятные моменты промолчу)))"
28885748;28888830;sexist;Отказалась бы от съёмок,
28885748;28889569;sexist;"В общем,  пожаловалась Варлей. Защитников нет,  даже среди женщин. Никакой солидарности с ней. Да и неизвестно,  может он хотел по-дружески.

В общем,  нефиг попугайничать с Запада."
28885748;28892502;sexist;Теперь Гайдая посадят ?
28885748;28893568;sexist;Зачем сейчас это ворошить ?Было-не было! ?? На Варлей видать накатили воспоминания более чем 50 летней давности, либо она на западные новости ориентируется-там сейчас самый писк в старом грязном белье копаться!????????
28885748;28894127;sexist;Интересно,как бы запели бабы,если бы мужики на них вовсе не смотрели?Сначала жопами вертят,кокетничают,а потом удивляются такие вообще не виноватые.
28885748;28897058;sexist;Забыли все про Варлей.Вот она и напомнила.
28811265;28811277;sexist;"уже даже не смешно 
обсуждать это га..но"
28811265;28811296;sexist;Раз домогательства,значит опять кого-то убрать со своего поста надо,и назначить другого человека??
28811265;28811302;sexist;Пусть к Малахову едут обсуждать ..Он любит такие темы ))
28811265;28811303;sexist;Нехер задницами крутить.
28811265;28811320;sexist;Лол... так современный феминизм это шантаж?)
28811265;28811326;sexist;К футболисткам сборной Украины,,,не?я угараю
28811265;28811333;sexist;Бабы, зашейте свои хлебодобывалки
28811265;28811334;sexist;Домогательства со стороны россиян, конечно?
28811265;28811337;sexist;Если к футболисткам никто не домогался, значит это - футболисты! )
28811265;28811417;sexist;Сучка не захочет, кабель не заскочет.это же давно известно
28811265;28811456;sexist;Домогаемую хоть показали бы. Может она как Сирена Уильмс
28811265;28811465;sexist;Адам Еву прижал к древу..трещит древо..пищит Ева...
28811265;28811505;sexist;да ну?! У них еще и футбол есть?
28811265;28812774;sexist;Прям к целой сборной,кто этот самец??
28640696;28640713;sexist;Шарли твой выход.
28640696;28640770;sexist;Ужас то какой, даже не знаю как жить теперь буду)))
28640696;28640772;sexist;А кто это?
28640696;28640809;sexist;Это всё очень забавно на фоне того что нам рассказывают какие они там на западе все высокоморальные и все за ценности ...
28640696;28640851;sexist;где снимался, что снимал, сий уже слитый достопчтенный тип
28640696;28640870;sexist;"Это что-то новое. А как же поговорка, ""Рожденный пить е..ать не может""."
28640696;28640935;sexist;Что за преступление-домогательство? Улыбнулся понравившейся девушке-уже домогательство,вот что демократия и свобода с людьми делает,живут,как в тюрьме!
28640696;28641511;sexist;Нерравильный заголовок, по сноске - предъявлено обвинение в попытке домогательства?? Так что даже не пытайтесь знакомиться в цивилизованных странах??
28640696;28641968;sexist;Помню его! Оригинальный,нестандартный,но очень скандальный футболист.
28640696;28642063;sexist;не судью...........отымел?
28640696;28643243;sexist;Какие домогательства, вся цивилизация погрязла в разврате, а больше всех этим гордится Шотландия, на втором месте Англия, а далее весь цивилизованный мир или западная демократия
28640696;28644559;sexist;Вот потому там так много голубков! Тем чудовищам, которые считаются там женщинами, даже улыбнуться страшно!
28196143;28196206;sexist;Куда лезут скоморохи ее удел радовать увядающей красотой публику
28196143;28196230;sexist;чего не наворожила-то еще?
28196143;28196362;sexist;Старушка уже !))
28196143;28196427;sexist;"Если женщины-демократки отдадут-ся республиканцам, а потом сыграют с республиканцами в игру ""ми ту""...????"
28196143;28196529;sexist;[id271827870|Аня], с ними даже по судам бегают митушки, книжки пишут о них...????
28196143;28196599;sexist;победят республиканцы, мазы на 0.5 в личку
28196143;28196877;sexist;"Похоже так и осталась ""зачарованной""..."
28196143;28197905;sexist;Александр, САШКО - ХОРОШИЙ СКАКУНОК -СКАКАЕТЬ В ПЕТЛЕ)))
28196143;28197908;sexist;главная шкура нулевых ми ту ??
28196143;28198666;sexist;"[id349771225|Александр], передается власть по наследству-как в лучших домах лондона и парижу в годах эдак 1200-1600 а кое где и сейчас..""демократия"" етить вашу маму...=)"
28196143;28205600;sexist;Так это она у него сосала и говорила что 6см у него?
27564997;27565007;sexist;Обелииииииикс
27564997;27565026;sexist;Шурыгинг по-французски.
27564997;27565029;sexist;[id407612172|Валерий], Валерия!! ты ещё здесь!! Ну ка быстро на панель! Работать!
27564997;27565030;sexist;[id24254300|Дмитрий], паспортом домогался что ли ?
27564997;27565057;sexist;А мне он нравится  хороший актер ......
27564997;27565073;sexist;"[id24254300|Дмитрий], да по их дурацкой логике, все мужики от рождения ""домогатели"" у них норма, когда мужик за мужиком ухаживает."
27564997;27565079;sexist;Жорик, езжай домой в Россию. Мы тебе сами таких девок найдём, такой тайский массаж сделают. Наши девки не француженки. Наши мужчин любят.
